Year_Month,Year,Month,Site,Type,Easting,Northing,Longitude,Latitude,NO2_NA_no,NO2,PM10_NA_no,PM10,PM25_NA_no,PM25,NO2_modelled,PM10_modelled,PM25_modelled,Hurs,Psl,Rainfall,SfcWind,Sun,Tas,NDVI,UR,Temp_Trend,logNO2,logPM10,logPM25,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,PopDen,nearest_road_distance
2016-01,2016,1,Dundee Meadowside,Roadside,340243.04,730658.37,-2.97138605,56.46425799,0,36.22258065,0,15.17096774,31,,18.79951,10.57289,6.049148,87.6705362,1001.942755,161.6788087,4.727798688,25.42843783,4.466938233,0.1689277,Rural Areas,1,3.589682699,2.719383584,,train3,test,train10,train1,train3,train1,train3,train3,test,test,0.005197924,5.225675715
2016-01,2016,1,Dundee Seagate,Kerbside,340486.33,730446.2,-2.967389911,56.46238296,0,49.59354839,0,17.21290323,31,,18.79951,10.57289,6.049148,87.6705362,1001.942755,161.6788087,4.727798688,25.42843783,4.466938233,0.080141435,Rural Areas,1,3.903860752,2.84565929,,train5,train2,train4,train7,train5,train4,train3,train5,test,train5,0.005197924,6.829277012
2016-01,2016,1,Dundee Union Street,Roadside,340234.85,730091.73,-2.971388965,56.45916699,26,10.42,31,,31,,18.79951,10.57289,6.049148,87.6705362,1001.942755,161.6788087,4.727798688,25.42843783,4.466938233,0.074757315,Rural Areas,1,2.343727036,,,train1,test,train8,train6,test,train9,train1,train2,train2,train9,0.005197924,33.04760881
2016-01,2016,1,Dundee Whitehall Street,Roadside,340277.72,730154.91,-2.970707922,56.45973996,0,39.63225806,31,,31,,18.79951,10.57289,6.049148,87.6705362,1001.942755,161.6788087,4.727798688,25.42843783,4.466938233,0.080141435,Rural Areas,1,3.679643384,,,train2,test,train9,train1,train3,train3,train8,test,train5,train2,0.005197924,72.37791012
2016-01,2016,1,E Ayrshire Kilmarnock St Marnock St,Roadside,242742,637705,-4.497991768,55.60746529,4,28.89259259,7,11.90416667,31,,13.07946,9.542433,5.984146,86.76635121,1001.679579,168.2106966,4.143029803,15.11457168,5.144582309,0.44860732,Other Urban Areas,1,3.363585251,2.476888479,,train7,train5,test,test,train10,train1,train5,train9,test,test,0.002772406,8.746726285
2016-01,2016,1,East Dunbartonshire Bearsden,Roadside,254271.48,672072.75,-4.333505014,55.91959602,0,52.26451613,0,10.88709677,31,,13.19853,9.554876,5.979587,89.48995802,1001.830309,180.9763034,4.834553902,26.03815062,4.352733797,0.5177276,Rural Areas,1,3.956317673,2.387578306,,train1,train10,train4,train7,train4,train9,train10,train10,train2,train3,0.002942088,9.571084396
2016-01,2016,1,East Dunbartonshire Bishopbriggs,Roadside,260995.7,670132.48,-4.225000046,55.90416698,0,36.62903226,0,12.67096774,31,,14.47907,9.95733,6.20464,89.19987192,1001.918155,164.2739166,4.709785607,23.50745105,4.202160867,0.47782416,Rural Areas,1,3.600841157,2.539313372,,train8,train4,test,test,train10,train6,train6,train4,train1,test,0.002766871,9.929695603
2016-01,2016,1,East Dunbartonshire Kirkintilloch,Roadside,265683.75,673520.86,-4.151758928,55.93592099,0,33.69032258,0,11.97419355,31,,13.29463,9.749344,5.927018,89.50595721,1001.91575,160.4368011,4.484390909,22.46940253,4.060348109,0.40728208,Rural Areas,1,3.517210632,2.482753796,,train7,train9,train6,train9,train5,train9,train2,train9,train5,train4,0.003028591,9.422364395
2016-01,2016,1,East Dunbartonshire Milngavie,Roadside,255325.27,674115.52,-4.317753008,55.93825301,0,27.0483871,0,11.51612903,31,,11.8361,9.162085,5.715908,89.98004768,1001.822055,185.3139618,4.394596763,26.66707672,4.364705238,0.47837172,Rural Areas,1,3.297627377,2.443748577,,train2,train6,train6,train5,train1,train4,train4,train2,train1,train5,0.00274991,9.562910204
2016-01,2016,1,East Lothian Musselburgh N High St,Roadside,333941,672836,-3.059222799,55.9440076,0,29.29354839,4,10.92592593,31,,15.34216,11.44618,6.71564,88.05236804,1002.032397,93.27434701,5.548480916,30.13258927,5.064655143,0.35823964,Large Urban Areas,1,3.3773673,2.39113849,,train6,train1,train3,train5,test,train1,test,train6,train1,train1,0.004932163,11.03844802
2016-01,2016,1,Edinburgh Currie,Rest,317575.4,667874.3,-3.319660353,55.89690865,3,12.66785714,0,8.777419355,31,,10.74471,10.57791,6.132316,87.74507255,1001.927263,157.9988949,4.825919145,29.08090557,3.870798926,0.44644896,Large Urban Areas,1,2.539067852,2.172182441,,train3,test,train1,test,test,train6,test,train3,train8,test,0.002462852,367.6985473
2016-01,2016,1,Edinburgh Glasgow Road,Roadside,313101,672651,-3.392727136,55.9390261,0,34.46129032,0,12.11935484,31,,20.34748,11.68402,6.429578,87.17738369,1001.878971,145.7046531,4.346064158,30.5131126,4.406738885,0.4972868,Rural Areas,1,3.539836674,2.494803748,,train4,train5,train8,train4,train5,train1,test,train7,train8,train6,0.000108079,7.179777766
2016-01,2016,1,Edinburgh Gorgie Road,Roadside,323121,672314,-3.232267016,55.93770769,1,43.76,31,,31,,22.76692,12.34375,7.023488,85.78904485,1001.943506,126.8464326,5.533044489,30.05046166,4.972406728,0.06847025,Large Urban Areas,1,3.778720158,,,train2,test,train5,train8,train8,train3,train4,train3,train1,test,0.012584093,13.05821225
2016-01,2016,1,Edinburgh Nicolson Street,Roadside,326150,673046,-3.183990832,55.94475855,31,,31,,31,,22.07976,11.02488,6.58188,86.01974096,1001.964421,119.898918,6.096928257,30.31584862,5.011209015,0.35574548,Large Urban Areas,1,,,,train4,test,train2,train5,train5,train8,train5,train1,train10,train3,0.007336469,7.022324952
2016-01,2016,1,Edinburgh Queen Street,Roadside,324825.48,674079.54,-3.205481028,55.953837,1,32.94666667,2,11.02758621,31,,21.32914,11.30533,6.816098,85.88910479,1001.94272,122.0125389,5.997430519,30.56544007,4.937930101,0.16110267,Rural Areas,1,3.494890092,2.40039997,,train6,train8,train4,train5,train4,train1,test,test,train9,train1,0.008975768,15.17135145
2016-01,2016,1,Edinburgh Queensferry Road,Roadside,318734.92,674931.5,-3.303249928,55.96049697,0,48.78387097,0,15.58387097,31,,15.46728,11.37644,6.640375,86.39813525,1001.899401,132.3699483,5.42720434,30.74981306,4.693712114,0.62613112,Rural Areas,1,3.887399745,2.746236467,,train4,train8,train8,test,train3,train1,train2,train6,train8,train5,0.003790773,8.259895052
2016-01,2016,1,Edinburgh Salamander St,Roadside,327613.24,676342.55,-3.161455035,55.97459399,0,28.99354839,0,12.90967742,31,,16.93968,11.93011,6.629832,86.64978259,1001.961538,107.8215307,6.796987604,31.09251995,5.205667823,0.247544,Rural Areas,1,3.367073336,2.557977218,,train9,train10,test,test,train5,train8,train2,test,train3,train2,0.005556022,7.082331756
2016-01,2016,1,Edinburgh St John's Road,Kerbside,320079.88,672902.79,-3.281110919,55.9425,0,55.38387097,31,,31,,17.72256,11.24137,6.725598,86.08920005,1001.919707,126.6184948,5.072288803,30.10877782,4.751393854,0.31348282,Rural Areas,1,4.014288414,,,train3,train4,train5,train10,train4,train10,train3,test,train7,train8,0.004367238,14.36624253
2016-01,2016,1,Edinburgh St Leonards,Rest,326264.3,673136.49,-3.18218598,55.94558898,31,,4,10.11111111,5,6.530769231,22.07976,11.02488,6.58188,86.01974096,1001.964421,119.898918,6.096928257,30.31584862,5.011209015,0.35574548,Rural Areas,1,,2.313634929,1.876524736,train1,train2,train10,train6,train8,test,test,train5,train3,train10,0.007336469,44.11561169
2016-01,2016,1,Eskdalemuir,Rest,323550.97,603021.74,-3.206110971,55.31530997,0,3.558064516,31,,31,,2.191195,7.922523,5.111669,91.75235773,1003.126776,362.0302174,4.333559762,17.62777756,3.087171405,0.73093976,Rural Areas,1,1.269216722,,,train8,train7,test,train10,test,test,train3,train2,train7,train8,1.60E-06,233.9918751
2016-01,2016,1,Falkirk Grangemouth MC,Rest,292818.05,682006.92,-3.721013031,56.01895095,10,32.96190476,4,12.14814815,31,,11.36934,10.3494,5.952175,87.88140008,1001.899776,166.9197682,4.83879919,19.65070377,4.840976397,0.38005268,Rural Areas,1,3.495352493,2.497176742,,train9,train3,train3,test,test,test,test,train1,train9,train9,0.000494242,43.16050621
2016-01,2016,1,Falkirk Haggs,Roadside,278977,679271,-3.941685363,55.99108677,0,37.49032258,0,13.05806452,31,,14.65693,11.06707,6.076895,89.13314414,1001.913599,209.1535333,4.550817741,20.47689237,3.631847818,0.7415616,Other Urban Areas,1,3.624082835,2.569405913,,test,test,train10,train10,train10,train8,train10,train10,train2,train2,0.001141593,6.344912512
2016-01,2016,1,Falkirk Hope St,Roadside,288688.39,680219.33,-3.78648491,56.00195595,0,25.42580645,31,,31,,15.57374,10.4761,6.359032,88.28817023,1001.915255,181.8209282,4.648882655,20.11525255,4.479753089,0.52327612,Rural Areas,1,3.23576466,,,test,train5,train3,train3,train4,train8,train8,train4,test,train1,0.00230096,9.767545758
2016-01,2016,1,Falkirk Main St Bainsford,Roadside,288563.7,681516.1,-3.789021528,56.01357234,17,28.67857143,17,12.27857143,31,,14.38369,10.53836,6.426398,88.32486306,1001.916525,180.5097336,4.62750598,19.87290642,4.485298558,0.54983444,Other Urban Areas,1,3.356150204,2.507855583,,train5,train8,train1,train10,train9,train8,test,train2,train1,train6,0.003891477,7.609453912
2016-01,2016,1,Falkirk West Bridge Street,Roadside,288457,680064,-3.790128751,56.00050725,0,46.39677419,0,13.82903226,31,,15.57374,10.4761,6.359032,88.28817023,1001.915255,181.8209282,4.648882655,20.11525255,4.479753089,0.52327612,Other Urban Areas,1,3.837229935,2.626770169,,test,train4,test,train9,train2,train5,train5,train1,train10,train4,0.00230096,7.354256285
2016-01,2016,1,Fife Cupar,Roadside,337369.34,714578.52,-3.014167029,56.31944401,0,32.80645161,4,15.93333333,31,,7.778882,10.49256,6.004348,89.42957246,1002.012947,161.3213348,4.153426241,27.11624463,3.916039376,0.36398896,Rural Areas,1,3.490625192,2.768413351,,train7,train10,train6,train2,train8,test,train6,train4,train10,train10,0.003053321,6.010415946
2016-01,2016,1,Fife Dunfermline,Roadside,309924.49,687724.72,-3.448620052,56.07383003,0,26.88709677,0,13.99677419,31,,13.12197,10.66972,6.090469,87.70529347,1001.876931,166.870372,6.177679621,17.54045345,4.127812532,0.91831904,Rural Areas,1,3.291646498,2.638826888,,test,train7,test,train1,train9,train5,test,test,test,test,0.002810611,11.15464231
2016-01,2016,1,Fife Kirkcaldy,Roadside,329143.57,692986.35,-3.141347009,56.12433096,0,20.61290323,0,12.26129032,31,,9.710244,8.896281,5.402284,88.24885371,1001.989784,136.184028,6.674949298,25.71247015,4.71459479,0.25535228,Rural Areas,1,3.02591725,2.506447172,,train10,train2,train6,train4,train2,train6,train1,test,train10,train9,0.002052568,11.68128734
2016-01,2016,1,Fife Rosyth,Roadside,311770.51,683501.59,-3.417582065,56.03624296,7,37.27916667,0,10.15483871,0,6.270967742,15.33473,11.20072,6.564666,87.21756095,1001.85854,125.8592058,5.796271832,25.3187962,4.660831004,0.48894388,Rural Areas,1,3.618434636,2.317950312,1.835930688,train4,train3,train4,train1,train7,train2,train9,train6,train6,train5,0.003752911,10.58146139
2016-01,2016,1,Fort William,Rest,210849.73,774418.72,-5.101101946,56.82265998,0,17.01935484,31,,31,,3.747717,7.393681,4.461241,83.5469754,1001.718588,334.2869474,1.140528711,9.011683375,4.768428794,0.16038442,Rural Areas,1,2.834351216,,,test,train7,train4,train6,train10,test,train5,test,train6,train3,0.000779062,191.0125739
2016-01,2016,1,Glasgow Anderston,Rest,257940.81,665497.95,-4.271388994,55.86166699,22,13.78888889,27,14.475,31,,28.29642,12.54195,6.908516,87.7935254,1001.936373,158.2977393,4.262608133,23.81868956,5.516396784,0.19244136,Rural Areas,1,2.623863115,2.672423023,,train3,train5,train7,train9,train6,train9,train1,train8,train8,test,0.00708588,46.64159378
2016-01,2016,1,Glasgow Burgher St,Roadside,262549.48,664168.91,-4.197139912,55.85107102,0,39.38064516,5,16.44230769,31,,17.21428,10.19723,6.201643,87.62568147,1001.979694,175.7254665,3.887742953,22.66169969,5.035677215,0.4157532,Rural Areas,1,3.673274456,2.79985775,,train2,train3,train1,train8,train4,train10,train1,train8,train2,train1,0.002918921,8.538160264
2016-01,2016,1,Glasgow Byres Road,Roadside,256526.91,666936.95,-4.294722015,55.874167,0,48.7516129,0,10.13225806,31,,21.67176,10.25663,6.174359,87.98347107,1001.916863,160.7654667,4.348631672,24.06345161,5.259416273,0.30483074,Rural Areas,1,3.886738282,2.315724202,,train1,train2,train3,train8,train7,train6,train2,train9,train4,train3,0.008033421,9.448460622
2016-01,2016,1,Glasgow Dumbarton Road,Roadside,255030,666608,-4.31844935,55.8707657,0,53.76774194,0,14.30645161,31,,22.02779,10.69954,6.379338,88.01875979,1001.900616,164.6285049,4.260014019,24.24040647,5.126033703,0.36103076,Large Urban Areas,1,3.984673695,2.660710597,,test,train6,train6,train7,train4,test,train7,train5,train6,train2,0.010215927,9.621623143
2016-01,2016,1,Glasgow Great Western Road,Roadside,258007,666651,-4.270936625,55.87203836,0,38.01612903,31,,31,,27.48459,12.29878,6.844817,87.89949188,1001.940175,161.0063892,4.336403125,23.65822802,5.394952762,0.52584532,Large Urban Areas,1,3.638010518,,,train4,test,train10,train10,test,train7,train1,train1,test,test,0.007522473,15.37028264
2016-01,2016,1,Glasgow High Street,Roadside,260014.1,665348.9,-4.23821368,55.86093551,12,37.95263158,0,12.15483871,0,8.758064516,27.48627,12.08232,6.826867,87.6794532,1001.964093,178.4552006,4.345121921,23.08574979,5.16695265,0.25763374,Large Urban Areas,1,3.636338845,2.497727338,2.169974935,test,train3,train5,train8,train6,train4,train6,test,test,train2,0.005010073,13.7337869
2016-01,2016,1,Glasgow Kerbside,Kerbside,258713.92,665194.51,-4.258888922,55.85917001,1,65.41,31,,31,,31.71115,11.73638,6.829536,87.74383047,1001.947179,157.0151234,4.392469901,23.55751845,5.469500569,0.10626608,Rural Areas,1,4.180675152,,,test,train5,train2,train3,train10,train2,test,train4,train6,train7,0.003820828,286.6771733
2016-01,2016,1,Glasgow Nithsdale Road,Roadside,257886.88,662669.31,-4.270767942,55.83625604,31,,2,13.15172414,31,,18.30284,10.08283,6.141131,87.82326119,1001.946994,158.9950176,4.008204837,23.86792182,4.854575069,0.34386424,Rural Areas,1,,2.576552863,,test,train8,test,train5,train8,test,train7,train7,train3,train8,0.007081626,9.431613068
2016-01,2016,1,Glasgow Townhead,Rest,259692.6,665899.13,-4.24363094,55.86578198,0,31.97096774,5,10.48846154,5,6.811538462,25.42956,10.5857,6.348083,87.72956739,1001.956441,171.6261843,4.304254806,23.38173729,5.406482831,0.25763374,Rural Areas,1,3.464828233,2.350275752,1.918618007,train6,test,test,test,train7,train3,test,train4,train4,train9,0.00823493,286.2007658
2016-01,2016,1,Glasgow Waulkmillglen Reservoir,Rest,252455.25,658157.36,-4.354967932,55.79412004,3,21.58928571,0,9.7,31,,9.787962,8.898339,5.479627,89.15402442,1001.894385,222.2084335,4.013622157,25.09301038,4.452765474,0.57556108,Rural Areas,1,3.07219716,2.272125886,,train4,train2,test,train1,test,train4,train7,train1,train7,train3,0.000584924,703.3625679
2016-01,2016,1,Grangemouth,Industrial,293829.88,681020.65,-3.704398944,56.01031895,0,22.71935484,0,10.56129032,5,9.780769231,16.20508,10.28637,6.357592,87.86775022,1001.894002,168.3227809,4.918229685,20.30496856,4.852714979,0.54183316,Rural Areas,1,3.123217197,2.35719546,2.280418134,test,test,train10,train3,train9,train3,train2,train7,train7,train1,0.002763145,276.6920559
2016-01,2016,1,Grangemouth Moray,Rest,293436.55,681344.72,-3.710832922,56.01314198,0,24.26451613,31,,31,,16.20508,10.28637,6.357592,87.86775022,1001.894002,168.3227809,4.918229685,20.30496856,4.852714979,0.54183316,Rural Areas,1,3.189015042,,,train6,train7,train9,train2,train1,train4,train9,test,train5,train5,0.002763145,58.50815374
2016-01,2016,1,Inverclyde Greenock A8,Roadside,229331.5,675714.7,-4.73442097,55.94407866,0,34.33225806,0,12.86774194,31,,11.61316,8.545309,5.226347,86.36093295,1001.451808,232.381209,6.249550155,22.99577464,5.047080813,0.29859116,Other Urban Areas,1,3.536085381,2.554723554,,test,train2,train3,test,train3,train5,train7,train10,train7,test,0.003106301,2.984158052
2016-01,2016,1,Inverness,Roadside,265708.85,845668.85,-4.241451007,57.48130795,0,32.87096774,31,,31,,6.714163,8.322395,4.987269,84.14671862,1000.981759,76.86925139,3.994241488,26.99628441,4.212720098,0.35144772,Rural Areas,1,3.492589829,,,train4,train9,train5,test,train8,train5,train4,train2,train3,train8,0.003393486,9.161786596
2016-01,2016,1,Inverness Academy Street,Roadside,266653,845439,-4.225591911,57.47952362,31,,31,,31,,10.37614,8.294503,4.960936,84.10252142,1000.981153,75.94599968,3.929198412,26.90314798,4.264268116,0.26250624,Other Urban Areas,1,,,,train10,train10,train8,test,train1,train9,train8,train6,train4,test,0.002544886,19.54834901
2016-01,2016,1,Inverness Academy Street 1st Floor,Roadside,266653.2,845439.2,-4.225588687,57.47952547,31,,31,,31,,10.37614,8.294503,4.960936,84.10252142,1000.981153,75.94599968,3.929198412,26.90314798,4.264268116,0.26250624,Other Urban Areas,1,,,,test,test,test,train4,train2,train6,test,test,train9,train1,0.002544886,19.26604113
2016-01,2016,1,Lerwick,Rest,445350.77,1139689.93,-1.185318917,60.13922003,1,3.146666667,31,,31,,7.818168,6.285021,3.553609,83.41157341,1001.566407,187.1091205,9.666444319,37.52630996,3.360886805,0.21050614,Rural Areas,1,1.146343691,,,train5,train10,train9,test,train10,test,train7,train2,test,train7,0.000260889,140.2011149
2016-01,2016,1,N Lanarkshire Airdrie Kenilworth Dr,Roadside,277385.6,665831.3,-3.961072478,55.87000076,31,,31,,31,,14.48277,10.45659,6.307819,88.62247323,1001.965651,157.790285,5.495215023,20.48669676,3.636732479,0.37121144,Other Urban Areas,1,,,,train3,train4,train9,train10,train7,test,train2,train7,train6,test,0.003607977,14.81314762
2016-01,2016,1,N Lanarkshire Chapelhall,Roadside,278168.64,663115.23,-3.94734605,55.84580998,0,34.5,31,,31,,12.20694,10.72488,6.159377,88.65834338,1001.969172,158.8504362,5.179028553,20.34531585,3.791168999,0.27896234,Rural Areas,1,3.540959324,,,train1,train5,test,train7,train7,train5,test,train7,train10,test,0.000461791,3.193975307
2016-01,2016,1,N Lanarkshire Coatbridge Sunnyside Rd,Roadside,273054,665234.7,-4.029968166,55.86352174,31,,31,,31,,16.97923,10.09044,6.251932,88.42227393,1001.973824,143.1947672,4.733265455,21.03317782,3.874247517,0.39727788,Other Urban Areas,1,,,,train7,train6,train7,train4,train3,train7,train6,train9,train4,train8,0.003444783,11.55067351
2016-01,2016,1,N Lanarkshire Coatbridge Whifflet,Rest,273674.95,663927.14,-4.019443945,55.85194396,31,,0,10.22258065,31,,17.69104,11.09413,6.609863,88.04649811,1001.980302,153.0819024,4.607459588,20.5993951,3.980230925,0.34908336,Rural Areas,1,,2.324599062,,train10,train3,train1,train1,train6,train2,train6,test,train5,train3,0.004154454,16.13114014
2016-01,2016,1,N Lanarkshire Croy,Roadside,272770.4,675740.3,-4.039443976,55.95777804,0,24.62258065,9,12.64090909,31,,11.95169,9.241319,5.591946,89.02565238,1001.917391,192.1911898,4.678942577,20.18478152,3.753434617,0.59424276,Other Urban Areas,1,3.203663934,2.536938308,,test,train6,train7,test,test,test,train1,test,test,train7,0.001112801,9.039749229
2016-01,2016,1,N Lanarkshire Kirkshaws,Roadside,272522.8,663029.8,-4.037413226,55.84358325,0,40.53225806,0,10.02580645,31,,17.00101,10.8661,6.658315,88.11887309,1001.981477,153.5450266,4.424145405,20.8750683,4.039067349,0.38701076,Other Urban Areas,1,3.702098152,2.305162414,,train2,train9,train7,train6,train9,train4,train9,train5,train3,test,0.005226798,32.05366888
2016-01,2016,1,N Lanarkshire Moodiesburn,Roadside,269929,670386,-4.082340363,55.90894138,0,26.6483871,31,,31,,15.28426,10.19931,6.128171,89.23871965,1001.949607,189.4700566,4.6077373,21.47182204,3.908448504,0.5906018,Other Urban Areas,1,3.282728627,,,train1,test,train2,train2,test,train2,train9,train3,train5,train8,0.002772129,11.22300763
2016-01,2016,1,N Lanarkshire Motherwell,Roadside,275540.87,656789.09,-3.986388952,55.78833303,31,,0,10.73870968,31,,21.31661,11.20603,6.850164,88.32762658,1001.992052,197.1945517,3.94633436,20.42846363,3.980738696,0.37624388,Rural Areas,1,,2.37385494,,train10,test,train9,test,test,train6,train3,train5,test,train2,0.002828871,81.53773543
2016-01,2016,1,N Lanarkshire Shawhead Coatbridge,Roadside,273411,662997,-4.023223128,55.84352272,0,35.32580645,1,11,31,,21.39296,12.46955,6.940497,87.97519184,1001.982901,155.4674441,4.28073938,20.56522987,4.119362782,0.40497236,Other Urban Areas,1,3.564613758,2.397895273,,train2,test,train2,train6,train1,train7,train4,train8,train4,train7,0.000753627,19.7483369
2016-01,2016,1,N Lanarkshire Uddingston New Edinburgh Rd,Roadside,269145.6,661499.7,-4.09057047,55.82893997,31,,31,,31,,21.32629,12.36038,7.028868,88.22820632,1001.989963,163.0078967,3.669074231,21.53237379,4.348420233,0.47906932,Large Urban Areas,1,,,,train3,train9,train7,train6,train1,train10,train4,train10,train6,test,0.003157591,19.34483261
2016-01,2016,1,North Ayrshire Irvine High St,Kerbside,232142,638892,-4.666789703,55.61457831,0,31.17419355,0,12.7,0,7.241935484,10.71581,9.002791,5.783385,85.84365407,1001.587681,162.2125105,5.77842187,16.59020795,5.493696554,0.43035536,Other Urban Areas,1,3.439590623,2.541601993,1.979888503,train9,train1,train3,train2,train4,test,test,train8,test,train7,0.002991044,142.8479924
2016-01,2016,1,Paisley Gordon Street,Roadside,248316.83,663615.52,-4.423958026,55.84183603,0,35.12258065,1,14.14333333,31,,16.34148,9.722612,5.995084,88.89460238,1001.820221,192.7383417,4.345442808,25.31020095,5.037568862,0.34144624,Rural Areas,1,3.558844247,2.649243371,,train8,test,train10,train4,test,test,train5,train10,train3,train1,0.004200029,13.50052293
2016-01,2016,1,Peebles,Rest,324814.65,641087.92,-3.19652692,55.65747203,0,9.84516129,31,,31,,3.912285,8.014412,5.04627,89.739039,1002.320048,199.598801,4.284971442,19.82147413,3.741806109,0.73213248,Rural Areas,1,2.286980095,,,train5,train2,train6,train8,train1,train3,train3,train1,train3,train9,0.001103301,325.8272606
2016-01,2016,1,Perth Atholl Street,Roadside,311577.28,723931.02,-3.434181973,56.39932696,0,43.18387097,0,16.00967742,31,,11.1477,9.786637,5.740034,88.88641214,1001.995952,187.901191,3.281003079,16.49901159,3.938550564,0.28111228,Rural Areas,1,3.765467068,2.773193378,,train5,train8,train3,train2,test,test,train3,train5,train9,train2,0.005320228,7.541035454
